   5.1287827969999999e+08      2.7546117863791872e-07 
   5.1287827980000001e+08      1.2656109984542383e-07 
   5.1287827989999998e+08      2.5268494523221424e-07 
   5.1287828000000000e+08      3.5212376644505817e-07 
   5.1287828010000002e+08      4.2853353169989976e-07 
   5.1287828019999999e+08      2.3444813739864163e-07 
   5.1287828030000001e+08      1.8497192453770775e-07 
   5.1287828039999998e+08      3.1442382040162429e-07 
   5.1287828050000000e+08      3.0219390565047161e-07 
   5.1287828060000002e+08      2.4124067921942726e-07 
   5.1287828069999999e+08      2.1641045529403343e-07 
   5.1287828080000001e+08      5.0885064654176198e-07 
   5.1287828089999998e+08      3.6397831494974959e-07 
   5.1287828100000000e+08      1.7227721372822570e-07 
   5.1287828110000002e+08      1.3026992883440765e-07 
   5.1287828119999999e+08      1.9426443061575555e-07 
   5.1287828130000001e+08      1.6459102920738908e-07 
   5.1287828139999998e+08      1.9931464852148693e-07 
   5.1287828150000000e+08      2.3629827572068801e-07 
   5.1287828160000002e+08      9.0611219284177887e-07 
   5.1287828169999999e+08      1.7198132199173022e-07 
   5.1287828180000001e+08      2.9210350799510817e-07 
   5.1287828189999998e+08      1.4013130249736725e-07 
   5.1287828200000000e+08      4.8599771411550390e-07 
